Time resolution is 1 ps
[OUTPUT] time=0 y9=0xxxxxxxxx, y8=0xxxxxxxxx, y7=0xxxxxxxxx, y6=0xxxxxxxxx, y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0xxxxxxxxx, y1=0xxxxxxxxx, y0=0xxxxxxxxx
[OUTPUT] time=750000 y9=0x0, y8=0x0, y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=13250000 y9=0x13650, y8=0xac, y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=13750000 y9=0x13380, y8=0x137d0, y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=14250000 y9=0x130b0, y8=0x13507, y7=0x13ca4, y6=0x0, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=14750000 y9=0x12de0, y8=0x1323e, y7=0x139c0, y6=0x13fce, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=15250000 y9=0x12b10, y8=0x12f75, y7=0x136dc, y6=0x13ce0, y5=0x142f8, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=15750000 y9=0x12840, y8=0x12cac, y7=0x133f8, y6=0x139f2, y5=0x14000, y4=0x14622, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=16250000 y9=0x12570, y8=0x129e3, y7=0x13114, y6=0x13704, y5=0x13d08, y4=0x14320, y3=0x1494c, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=16750000 y9=0x122a0, y8=0x1271a, y7=0x12e30, y6=0x13416, y5=0x13a10, y4=0x1401e, y3=0x14640, y2=0x14c76, y1=0x0, y0=0x0
[OUTPUT] time=17250000 y9=0x11fd0, y8=0x12451, y7=0x12b4c, y6=0x13128, y5=0x13718, y4=0x13d1c, y3=0x14334, y2=0x14960, y1=0x14fa0, y0=0x0
[OUTPUT] time=17750000 y9=0x11d00, y8=0x12188, y7=0x12868, y6=0x12e3a, y5=0x13420, y4=0x13a1a, y3=0x14028, y2=0x1464a, y1=0x14c80, y0=0x152ca
[OUTPUT] time=18250000 y9=0x0, y8=0x11ec0, y7=0x12584, y6=0x12b4c, y5=0x13128, y4=0x13718, y3=0x13d1c, y2=0x14334, y1=0x14960, y0=0x14fa0
[OUTPUT] time=18750000 y9=0x0, y8=0x0, y7=0x122a0, y6=0x1285e, y5=0x12e30, y4=0x13416, y3=0x13a10, y2=0x1401e, y1=0x14640, y0=0x14c76
[OUTPUT] time=19250000 y9=0x0, y8=0x0, y7=0x0, y6=0x12570, y5=0x12b38, y4=0x13114, y3=0x13704, y2=0x13d08, y1=0x14320, y0=0x1494c
[OUTPUT] time=19750000 y9=0x0, y8=0x0, y7=0x0, y6=0x0, y5=0x12840, y4=0x12e12, y3=0x133f8, y2=0x139f2, y1=0x14000, y0=0x14622
[OUTPUT] time=20250000 y9=0x0, y8=0x0, y7=0x0, y6=0x0, y5=0x0, y4=0x12b10, y3=0x130ec, y2=0x136dc, y1=0x13ce0, y0=0x142f8
[OUTPUT] time=20750000 y9=0x0, y8=0x0, y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x12de0, y2=0x133c6, y1=0x139c0, y0=0x13fce
