Time resolution is 1 ps
[OUTPUT] time=0 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0xxxxxxxxx, y1=0xxxxxxxxx, y0=0xxxxxxxxx
[OUTPUT] time=750000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=9250000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x3bb0, y1=0x0, y0=0x0
[OUTPUT] time=9750000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x3ac0, y1=0x3cbe, y0=0x0
[OUTPUT] time=10250000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x39d0, y1=0x3bc8, y0=0x3dcc
[OUTPUT] time=10750000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x38e0, y1=0x3ad2, y0=0x3cd0
[OUTPUT] time=11250000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x37f0, y1=0x39dc, y0=0x3bd4
[OUTPUT] time=11750000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x3700, y1=0x38e6, y0=0x3ad8
[OUTPUT] time=12250000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x0, y1=0x37f0, y0=0x39dc
[OUTPUT] time=12750000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x0, y1=0x0, y0=0x38e0
[OUTPUT] time=13250000 y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0x0, y1=0x0, y0=0x0
