Time resolution is 1 ps
[OUTPUT] time=0 y7=0xxxxxxxxx, y6=0xxxxxxxxx, y5=0xxxxxxxxx, y4=0xxxxxxxxx, y3=0xxxxxxxxx, y2=0xxxxxxxxx, y1=0xxxxxxxxx, y0=0xxxxxxxxx
[OUTPUT] time=750000 y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=11250000 y7=0x9840, y6=0x7, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=11750000 y7=0x9680, y6=0x98b0, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=12250000 y7=0x94c0, y6=0x96f9, y5=0x9c30, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=12750000 y7=0x9300, y6=0x9542, y5=0x9a60, y4=0x9e28, y3=0x0, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=13250000 y7=0x9140, y6=0x938b, y5=0x9890, y4=0x9c50, y3=0xa020, y2=0x0, y1=0x0, y0=0x0
[OUTPUT] time=13750000 y7=0x8f80, y6=0x91d4, y5=0x96c0, y4=0x9a78, y3=0x9e40, y2=0xa218, y1=0x0, y0=0x0
[OUTPUT] time=14250000 y7=0x8dc0, y6=0x901d, y5=0x94f0, y4=0x98a0, y3=0x9c60, y2=0xa030, y1=0xa410, y0=0x0
[OUTPUT] time=14750000 y7=0x8c00, y6=0x8e66, y5=0x9320, y4=0x96c8, y3=0x9a80, y2=0x9e48, y1=0xa220, y0=0xa608
[OUTPUT] time=15250000 y7=0x0, y6=0x8cb0, y5=0x9150, y4=0x94f0, y3=0x98a0, y2=0x9c60, y1=0xa030, y0=0xa410
[OUTPUT] time=15750000 y7=0x0, y6=0x0, y5=0x8f80, y4=0x9318, y3=0x96c0, y2=0x9a78, y1=0x9e40, y0=0xa218
[OUTPUT] time=16250000 y7=0x0, y6=0x0, y5=0x0, y4=0x9140, y3=0x94e0, y2=0x9890, y1=0x9c50, y0=0xa020
[OUTPUT] time=16750000 y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x9300, y2=0x96a8, y1=0x9a60, y0=0x9e28
[OUTPUT] time=17250000 y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x0, y2=0x94c0, y1=0x9870, y0=0x9c30
[OUTPUT] time=17750000 y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x9680, y0=0x9a38
[OUTPUT] time=18250000 y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x9840
[OUTPUT] time=18750000 y7=0x0, y6=0x0, y5=0x0, y4=0x0, y3=0x0, y2=0x0, y1=0x0, y0=0x0
$finish called at time : 20250 ns : File "C:/Verilog_lab/study/1/JH/8x8_systolicarray_final/8x8_systolicarray_final.srcs/sim_1/imports/sim/MMU_test.v" Line 68
